lat,lon,25.09 16.50,25.09 17.00,21.09 08.30,21.09 16.30,21.09 17.00,23.09 17.40,konflikter,forenlige
59.200,7.760,40,26,0,0,0,45,2,3
59.200,7.858,43,34,0,0,0,43,3,3
59.200,7.955,48,37,0,0,0,41,3,3
59.200,8.053,59,52,0,0,0,40,3,3
59.200,8.151,48,44,0,0,0,39,3,3
59.200,8.248,46,44,0,0,0,35,3,3
59.200,8.346,45,41,0,0,0,41,3,3
59.200,8.444,44,37,0,0,0,35,3,3
59.200,8.541,41,43,0,0,0,37,3,3
59.200,8.639,39,42,0,0,0,38,3,3
59.200,8.736,42,36,0,0,0,36,3,3
59.200,8.834,42,38,0,0,0,43,3,3
59.200,8.932,10,36,0,0,0,36,2,4
59.200,9.029,14,36,0,0,0,42,2,4
59.200,9.127,8,13,0,0,0,38,1,5
59.200,9.225,10,12,0,0,0,33,1,5
59.200,9.322,29,7,0,0,0,33,1,4
59.200,9.420,31,10,0,0,0,38,2,4
59.200,9.518,28,22,0,0,0,33,1,3
59.200,9.615,12,28,0,0,0,36,1,4
59.200,9.713,13,27,0,0,0,35,1,4
59.200,9.811,12,18,0,0,0,37,1,4
59.200,9.908,20,14,0,0,0,36,1,4
59.200,10.006,18,18,0,0,0,37,1,3
59.200,10.104,27,14,0,0,0,35,1,4
59.200,10.201,27,20,0,0,0,34,1,3
59.200,10.299,15,27,0,0,0,36,1,4
59.200,10.397,6,23,0,0,0,36,1,4
59.200,10.494,14,17,0,0,0,35,1,4
59.200,10.592,14,14,0,0,0,35,1,5
59.200,10.689,2,17,0,0,0,31,1,4
59.200,10.787,4,12,0,0,0,34,1,5
59.200,10.885,0,0,0,0,0,30,1,5
59.200,10.982,3,2,0,0,0,30,1,5
59.200,11.080,0,1,0,0,0,34,1,5
59.200,11.178,11,2,0,0,0,32,1,5
59.200,11.275,16,5,0,0,0,30,1,4
59.200,11.373,30,15,0,0,0,30,1,4
59.200,11.471,27,18,0,0,0,30,0,3
59.200,11.568,19,33,0,1,0,27,1,3
59.200,11.666,20,32,0,0,0,25,1,3
59.200,11.764,0,16,0,0,0,24,0,4
59.200,11.861,0,6,0,0,0,26,0,5
59.200,11.959,0,0,0,0,0,25,0,5
59.200,12.057,0,0,0,0,0,26,0,5
59.200,12.154,0,0,0,0,2,33,1,5
59.200,12.252,0,0,0,0,3,29,0,5
59.200,12.349,0,0,0,0,3,29,0,5
59.200,12.447,0,0,0,0,1,31,1,5
59.200,12.545,1,0,0,0,1,27,0,5
59.200,12.642,0,0,0,0,0,24,0,5
59.200,12.740,0,0,0,0,0,22,0,5
59.200,12.838,3,0,0,0,0,28,0,5
59.200,12.935,2,0,0,0,0,33,1,5
59.200,13.033,3,0,0,0,0,22,0,5
59.250,6.100,67,52,11,0,0,45,3,3
59.250,6.198,35,52,4,0,0,25,2,3
59.250,6.296,34,31,9,0,0,19,2,3
59.250,6.393,20,17,8,0,0,16,0,3
59.250,6.491,19,9,11,0,0,28,0,4
59.250,6.589,10,16,14,0,0,18,0,4
59.250,6.687,11,14,1,0,0,16,0,5
59.250,6.785,14,20,5,0,0,19,0,4
59.250,6.882,0,19,5,0,0,17,0,4
59.250,6.980,4,36,0,0,0,30,2,4
59.250,7.078,14,38,0,0,0,37,2,4
59.250,7.176,24,8,0,0,1,34,1,4
59.250,7.273,51,40,0,0,0,38,3,3
59.250,7.371,57,22,0,0,0,43,2,3
59.250,7.469,59,52,0,0,0,44,3,3
59.250,7.567,44,55,0,0,0,49,3,3
59.250,7.665,39,39,0,0,0,46,3,3
59.250,7.762,41,28,0,0,0,46,2,3
59.250,7.860,43,33,0,0,0,42,3,3
59.250,7.958,42,46,0,0,0,42,3,3
59.250,8.056,59,48,0,0,0,40,3,3
59.250,8.154,48,48,0,0,0,35,3,3
59.250,8.251,40,47,0,0,0,34,3,3
59.250,8.349,42,44,0,0,0,38,3,3
59.250,8.447,47,43,0,0,0,34,3,3
59.250,8.545,43,44,0,0,0,39,3,3
59.250,8.643,44,38,0,0,0,35,3,3
59.250,8.740,41,31,0,0,0,34,3,3
59.250,8.838,47,35,0,0,0,41,3,3
59.250,8.936,16,36,0,0,0,33,2,3
59.250,9.034,4,38,0,0,0,39,2,4
59.250,9.132,1,4,0,0,0,37,1,5
59.250,9.229,3,5,0,0,0,36,1,5
59.250,9.327,25,4,0,0,0,36,1,4
59.250,9.425,30,0,0,0,0,37,1,4
59.250,9.523,28,21,0,0,0,35,1,3
59.250,9.620,19,29,0,0,0,36,1,3
59.250,9.718,15,30,0,0,0,36,1,4
59.250,9.816,16,18,0,0,0,35,1,3
59.250,9.914,13,14,0,0,0,33,1,5
59.250,10.012,21,19,0,0,0,37,1,3
59.250,10.109,25,14,0,0,0,34,1,4
59.250,10.207,25,17,0,0,0,36,1,3
59.250,10.305,23,25,0,0,0,37,1,3
59.250,10.403,19,23,0,0,0,32,1,3
59.250,10.501,18,20,0,0,0,32,1,3
59.250,10.598,17,23,0,0,0,35,1,3
59.250,10.696,8,20,0,0,0,31,1,4
59.250,10.794,1,8,0,0,0,32,1,5
59.250,10.892,0,5,0,0,0,29,0,5
59.250,10.990,0,2,0,0,0,30,0,5
59.250,11.087,7,9,0,0,0,33,1,5
59.250,11.185,14,4,0,0,0,32,1,5
59.250,11.283,14,14,0,0,0,32,1,5
59.250,11.381,28,9,0,0,0,32,1,4
59.250,11.479,33,13,0,0,0,29,1,4
59.250,11.576,29,20,0,1,0,27,0,3
59.250,11.674,25,34,0,5,0,23,1,3
59.250,11.772,0,8,0,2,0,25,0,5
59.250,11.870,0,5,0,0,0,24,0,5
59.250,11.967,0,0,0,0,0,25,0,5
59.250,12.065,0,0,0,0,0,28,0,5
59.250,12.163,0,0,0,0,2,32,1,5
59.250,12.261,0,0,0,0,3,30,0,5
59.250,12.359,0,0,0,0,1,30,1,5
59.250,12.456,0,0,0,0,1,30,1,5
59.250,12.554,0,0,0,0,0,31,1,5
