lat,lon,veitype,avstand_m,stigning_m,hoydemeter_opp,maks_helning_pst,gangtid_min,krysser,min_K_margin_m,morgensol_m
60.78102,11.92031,service,267,13,14,13,3.8,–,2.7,0
60.46522,11.95667,secondary,216,-24,20,51,6.3,–,0.3,0
60.71626,11.93294,service,244,7,12,32,3.5,myr,2.8,0
60.71715,11.93304,service,231,2,8,14,3.0,–,2.8,0
60.54696,11.95192,service,194,1,5,18,2.6,–,1.0,0
60.51568,11.95996,service,281,35,35,25,5.3,–,2.7,1.4
60.71114,11.94114,track,158,7,9,18,2.4,–,1.4,0
60.46963,11.96937,service,193,-6,3,16,2.4,–,2.7,0
60.50114,11.96807,track,356,-13,5,17,4.4,–,2.9,0
60.45356,11.9736,service,192,-3,2,15,2.3,–,2.6,0
60.79972,11.9406,service,333,16,17,14,4.7,–,0.9,0
60.49841,11.97033,service,275,-3,7,16,3.5,–,1.5,0
60.47691,11.97324,unclassified,213,-16,4,20,2.9,–,2.9,0
60.84919,11.93882,unclassified,180,-17,0,32,2.2,–,0.9,0
60.43626,11.9794,unclassified,251,-3,1,21,3.0,–,1.7,0
60.58008,11.96633,residential,223,2,12,25,3.5,bekk,1.6,0
60.87058,11.93971,service,595,-4,11,25,7.6,myr+vann,2.9,0
60.41326,11.98333,service,604,33,43,30,9.5,myr,2.9,0
60.47136,11.98196,service,213,-12,0,13,2.3,–,0.4,0
60.65067,11.96884,service,820,129,130,47,18.4,–,1.8,0
60.41322,11.99334,track,260,78,78,77,10.8,–,2.9,0
60.79543,11.96121,service,182,4,6,10,2.4,–,0.0,0
60.70194,11.97097,unclassified,160,12,12,15,2.5,–,2.5,9.7
60.88427,11.96035,unclassified,284,-9,3,20,3.4,myr,0.5,0
60.712,11.98304,unclassified,414,3,9,15,5.2,–,2.6,0
60.64707,11.99643,service,396,18,28,25,6.3,–,1.7,0
60.71881,11.99416,service,271,51,51,38,6.9,–,1.0,0.7
60.63585,12.00481,service,321,29,35,38,6.0,–,2.9,0
60.66191,12.00514,service,202,-7,2,21,2.5,–,0.2,0
60.59356,12.01419,service,201,-5,2,31,2.6,–,1.6,0
60.85555,11.98996,unclassified,173,-8,3,14,2.2,–,2.8,0
60.63644,12.01171,service,540,63,63,26,9.8,–,1.2,0
60.80031,11.99862,service,485,19,24,15,6.9,–,2.8,0
60.73644,12.00754,track,322,-3,8,17,4.1,bekk,1.5,0
61.00694,11.98175,track,425,-2,6,12,5.2,bekk+myr,2.9,0
60.84643,11.99984,service,278,29,31,25,5.0,–,0.5,0
60.64507,12.01932,unclassified,216,14,14,15,3.3,–,1.1,0
60.86664,11.99979,unclassified,149,7,8,13,2.1,–,0.3,0
60.73436,12.01856,track,346,21,24,29,5.4,bekk+myr,1.5,0
60.87541,12.01002,service,369,-13,2,19,4.4,myr+vann,2.4,0
60.60581,12.03591,service,179,0,3,8,2.2,vann,1.2,0
60.70323,12.02878,service,247,-33,1,27,3.7,–,2.2,0
60.54057,12.04755,service,438,-5,5,23,5.4,vann,1.9,0
60.75166,12.0287,unclassified,310,34,36,31,5.8,–,0.1,0
60.69198,12.03658,service,304,15,19,22,4.6,–,0.9,0
60.68923,12.03724,unclassified,495,1,21,30,6.9,–,0.6,0
60.84999,12.02271,unclassified,350,17,19,16,5.1,–,2.9,0
60.77861,12.03318,service,395,-30,1,35,5.0,myr,0.6,0
60.87141,12.02419,service,171,7,14,34,3.0,vann,2.4,0
60.67722,12.0431,service,417,53,53,21,7.9,–,2.5,0
60.86608,12.03136,service,277,8,14,29,4.2,–,0.6,0
60.79646,12.03963,service,604,-3,29,27,9.0,–,0.5,0
60.68049,12.05287,service,496,57,60,22,9.2,–,2.9,0
60.83835,12.04496,service,239,-1,6,18,3.1,–,2.9,0
60.62902,12.06579,service,223,-3,0,6,2.6,–,1.2,0
60.83244,12.04972,secondary,177,-1,6,20,2.5,–,0.2,0
60.70457,12.06533,service,188,-28,0,19,2.7,–,2.7,0
60.68715,12.06948,service,217,17,18,18,3.5,–,0.9,0
