E,N,lat,lon,moh,veiavstand,K0,K1,K2,K3,K4
329100,6716000,60.54359,11.88401,301,158,0.1,1.9,15.4,19.7,20.7
329100,6733350,60.69913,11.86896,187,213,0.3,2.8,10.3,16.6,20.0
329150,6734800,60.71215,11.86861,254,319,0.9,2.5,11.6,11.6,13.1
329450,6716150,60.54508,11.89025,275,200,0.1,0.2,13.6,15.4,17.2
329500,6725850,60.63207,11.88279,163,232,0.1,0.2,11.6,17.1,16.4
329550,6724250,60.61774,11.88508,172,443,0.0,2.6,15.9,11.3,15.1
329550,6744950,60.80332,11.86706,334,287,1.5,1.9,10.4,12.2,12.4
329850,6740150,60.76042,11.87676,209,226,1.2,2.1,12.6,20.2,23.1
329950,6722650,60.60357,11.89376,185,174,0.1,2.7,14.6,14.4,15.2
330050,6702150,60.41982,11.91313,346,187,0.0,0.1,11.8,10.4,14.3
330150,6760200,60.94029,11.86468,343,286,1.6,2.3,10.7,15.2,13.6
330200,6751900,60.86590,11.87290,363,194,1.1,2.5,10.8,16.1,13.3
330300,6724500,60.62030,11.89855,165,233,0.6,1.2,14.8,12.4,17.2
330350,6755700,60.90003,11.87232,350,634,2.1,2.8,10.7,10.2,13.5
330450,6765150,60.98479,11.86584,652,839,1.3,2.7,10.1,10.8,14.4
330550,6743550,60.79120,11.88663,337,319,1.6,1.8,11.3,11.0,13.9
330800,6706400,60.45824,11.92313,357,440,0.1,1.1,10.6,14.1,14.0
330850,6724250,60.61830,11.90880,150,289,0.0,0.1,10.4,17.7,21.1
330900,6724050,60.61652,11.90988,160,208,0.2,1.0,12.7,11.7,15.1
331050,6731400,60.68248,11.90630,173,237,0.3,2.8,11.8,12.5,14.9
331050,6737500,60.73717,11.90104,235,473,2.0,1.6,10.6,17.4,14.8
331050,6740450,60.76362,11.89848,321,170,1.8,0.9,11.8,13.1,16.5
331050,6745050,60.80486,11.89449,381,232,0.4,1.1,11.7,14.3,15.0
331100,6731350,60.68205,11.90726,172,242,0.2,2.5,15.6,11.8,14.2
331150,6705700,60.45211,11.93008,277,159,2.1,0.6,12.0,16.7,15.5
331250,6717600,60.55884,11.92178,243,329,0.3,0.4,11.0,16.1,19.4
331450,6742750,60.78441,11.90383,346,228,0.1,0.0,11.8,11.8,18.4
331800,6702750,60.42593,11.94436,284,402,1.8,2.2,12.9,13.1,16.1
